name,description,careerPageName,type,state,workplaceType
Professor de Curso Técnico em Administração | Foz do Iguaçu [Banco de Talentos 2025],"[Vaga para Banco de Talentos]🌟&nbsp;Seja parte de uma nova era na educação pública!&nbsp;🌟Na Tom Educação, acreditamos que a chave para transformar o futuro está em uma educação pública de qualidade.&nbsp;Nossa missão é desenvolver uma comunidade visceralmente comprometida para que todos os estudantes possam construir e alcançar seus sonhos.Como professor, você será parte essencial dessa missão, atuando diretamente com alunos do ensino básico para desenvolver habilidades de vida. Se você é apaixonado por ensinar e quer impactar vidas, essa vaga é para você!🚀&nbsp;Venha fazer parte do Tom Educação e ajude a transformar vidas e o futuro da educação pública!Responsabilidades e atribuiçõesPlanejar e ministrar aulas que motivem e engajem os alunos.Adaptar o conteúdo para atender às diferentes necessidades das turmas.Avaliar o desempenho dos alunos por meio de provas, trabalhos e atividades.Acompanhar o progresso individual dos estudantes.Criar um ambiente de aprendizagem seguro e estimulante.Promover o desenvolvimento do pensamento crítico.Colaborar com a equipe pedagógica e gestão escolar para garantir a qualidade do ensino.Requisitos e qualificaçõesGraduação em AdministraçãoConhecimento profundo do conteúdo a ser ministradoHabilidade para adaptar métodos de ensino a diferentes perfis de alunosCompromisso com o desenvolvimento educacional dos estudantesBoa comunicação e capacidade de trabalho em equipeDedicação ao ensino em ambientes da rede públicaAtenção: o Curso Técnico ofertado é integral. Dessa forma, serão priorizados professores dispostos a pegar uma alta quantidade de horas na escola, para que possam criar vínculos com os alunos, da forma como o Ensino Integral propõe. Para isso, o professor será selecionado para dar mais de uma disciplina.Informações adicionaisRemuneração + Benefícios (Flexível) - de acordo com a tabela de remuneração abaixo:A distribuição de horas-aula será feita de acordo com a Normativa Nº 12/2023, da SEED/PR.Regime de contratação: CLTPerguntas Frequentes do Processo Seletivo1. Quem pode se inscrever no processo seletivo?Qualquer pessoa que atenda aos requisitos mínimos descritos na página da vaga na Gupy pode se inscrever. Verifique a seção ""Requisitos"" da vaga para a qual você está aplicando para garantir a sua compatibilidade com a vaga.2. Como faço para me inscrever?As inscrições são realizadas online. Basta acessar https://tomeducacao.gupy.io/, preencher o formulário e enviar os documentos solicitados. Após a inscrição, você receberá um e-mail de confirmação.3. Quais documentos são necessários para a inscrição?Os documentos exigidos podem variar de acordo com o cargo, mas geralmente giram em torno do currículo atualizado. Caso você receba uma oferta de contratação, outros documentos serão solicitados.4. Há uma taxa de inscrição?Não, a inscrição no processo seletivo é totalmente gratuita.5. Qual é o prazo final para inscrição?As inscrições estão abertas até o dia 31/10/2025. Inscreva-se o quanto antes para garantir a sua participação.6. Como será o processo de seleção?O processo seletivo é composto por várias etapas, incluindo:Análise curricular;Prova Específica;Aula-Teste;Entrevistas com o time de Pessoas&amp;Cultura da Tom Educação e com colaboradores da escola em que você irá trabalhar7. Quando os resultados serão divulgados?Os resultados das diferentes etapas do processo seletivo serão enviados por e-mail. Acompanhe o calendário na página da Gupy para as datas.8. Posso corrigir ou atualizar minha inscrição após enviá-la?Sim, você pode atualizar seus dados antes do prazo final de inscrição, acessando sua conta no site e fazendo as alterações necessárias diretamente no site www.tomeducacao.gupy.io.&nbsp;9. Como posso acompanhar o status da minha inscrição?Você pode acompanhar o status de sua inscrição e do processo seletivo na área ""Minha Inscrição"" no nosso site www.tomeducacao.gupy.io, onde estarão as atualizações sobre cada etapa.10. O que devo fazer se não receber o e-mail de confirmação da inscrição?Verifique sua caixa de spam ou lixo eletrônico. Caso o e-mail não esteja lá, entre em contato com a equipe de suporte pelo e-mail pessoas.cultura@tomeducacao.com.br ou pelo telefone 41 8492-100211. Há vagas para pessoas com deficiência (PCD)?Sim, o processo seletivo conta com vagas destinadas a pessoas com deficiência (PCD).&nbsp;12. Qual é a duração do processo seletivo?O processo seletivo pode variar em duração, mas normalmente leva entre 20 a 60 dias, desde o início das inscrições até a divulgação do resultado final. Confira o andamento em seu e-mail ou no nosso site www.tomeducacao.com.br .13. Onde posso encontrar mais informações sobre os cargos disponíveis?Todas as informações sobre as vagas, incluindo requisitos e responsabilidades, estão detalhadas na página do processo seletivo, disponível no nosso site www.tomeducacao.com.br.14. E se eu tiver mais dúvidas?Caso tenha outras perguntas, você pode entrar em contato com nossa equipe pelo e-mail pessoas.cultura@tomeducacao.com.br ou pelo telefone 41 8492-1002",Tom Educação,banco de talentos,Paraná,presencial
Professor de Curso Técnico em Administração | Curitiba [Banco de Talentos 2025],"[Vaga para Banco de Talentos]🌟&nbsp;Seja parte de uma nova era na educação pública!&nbsp;🌟Na Tom Educação, acreditamos que a chave para transformar o futuro está em uma educação pública de qualidade.&nbsp;Nossa missão é desenvolver uma comunidade visceralmente comprometida para que todos os estudantes possam construir e alcançar seus sonhos.Como professor, você será parte essencial dessa missão, atuando diretamente com alunos do ensino básico para desenvolver habilidades de vida. Se você é apaixonado por ensinar e quer impactar vidas, essa vaga é para você!🚀&nbsp;Venha fazer parte do Tom Educação e ajude a transformar vidas e o futuro da educação pública!Responsabilidades e atribuiçõesPlanejar e ministrar aulas que motivem e engajem os alunos.Adaptar o conteúdo para atender às diferentes necessidades das turmas.Avaliar o desempenho dos alunos por meio de provas, trabalhos e atividades.Acompanhar o progresso individual dos estudantes.Criar um ambiente de aprendizagem seguro e estimulante.Promover o desenvolvimento do pensamento crítico.Colaborar com a equipe pedagógica e gestão escolar para garantir a qualidade do ensino.Requisitos e qualificaçõesGraduação em AdministraçãoConhecimento profundo do conteúdo a ser ministradoHabilidade para adaptar métodos de ensino a diferentes perfis de alunosCompromisso com o desenvolvimento educacional dos estudantesBoa comunicação e capacidade de trabalho em equipeDedicação ao ensino em ambientes da rede públicaAtenção: o Curso Técnico ofertado é integral. Dessa forma, serão priorizados professores dispostos a pegar uma alta quantidade de horas na escola, para que possam criar vínculos com os alunos, da forma como o Ensino Integral propõe. Para isso, o professor será selecionado para dar mais de uma disciplina.Informações adicionaisRemuneração + Benefícios (Flexível) - de acordo com a tabela de remuneração abaixo:A distribuição de horas-aula será feita de acordo com a Normativa Nº 12/2023, da SEED/PR.Regime de contratação: CLTPerguntas Frequentes do Processo Seletivo1. Quem pode se inscrever no processo seletivo?Qualquer pessoa que atenda aos requisitos mínimos descritos na página da vaga na Gupy pode se inscrever. Verifique a seção ""Requisitos"" da vaga para a qual você está aplicando para garantir a sua compatibilidade com a vaga.2. Como faço para me inscrever?As inscrições são realizadas online. Basta acessar https://tomeducacao.gupy.io/, preencher o formulário e enviar os documentos solicitados. Após a inscrição, você receberá um e-mail de confirmação.3. Quais documentos são necessários para a inscrição?Os documentos exigidos podem variar de acordo com o cargo, mas geralmente giram em torno do currículo atualizado. Caso você receba uma oferta de contratação, outros documentos serão solicitados.4. Há uma taxa de inscrição?Não, a inscrição no processo seletivo é totalmente gratuita.5. Qual é o prazo final para inscrição?As inscrições estão abertas até o dia 31/01/2025. Inscreva-se o quanto antes para garantir a sua participação.6. Como será o processo de seleção?O processo seletivo é composto por várias etapas, incluindo:Análise curricular;Prova Específica;Aula-Teste;Entrevistas com o time de Pessoas&amp;Cultura da Tom Educação e com colaboradores da escola em que você irá trabalhar7. Quando os resultados serão divulgados?Os resultados das diferentes etapas do processo seletivo serão enviados por e-mail. Acompanhe o calendário na página da Gupy para as datas.8. Posso corrigir ou atualizar minha inscrição após enviá-la?Sim, você pode atualizar seus dados antes do prazo final de inscrição, acessando sua conta no site e fazendo as alterações necessárias diretamente no site www.tomeducacao.gupy.io.&nbsp;9. Como posso acompanhar o status da minha inscrição?Você pode acompanhar o status de sua inscrição e do processo seletivo na área ""Minha Inscrição"" no nosso site www.tomeducacao.gupy.io, onde estarão as atualizações sobre cada etapa.10. O que devo fazer se não receber o e-mail de confirmação da inscrição?Verifique sua caixa de spam ou lixo eletrônico. Caso o e-mail não esteja lá, entre em contato com a equipe de suporte pelo e-mail pessoas.cultura@tomeducacao.com.br ou pelo telefone 41 9262-8806.11. Há vagas para pessoas com deficiência (PCD)?Sim, o processo seletivo conta com vagas destinadas a pessoas com deficiência (PCD).&nbsp;12. Qual é a duração do processo seletivo?O processo seletivo pode variar em duração, mas normalmente leva entre 20 a 60 dias, desde o início das inscrições até a divulgação do resultado final. Confira o andamento em seu e-mail ou no nosso site www.tomeducacao.com.br .13. Onde posso encontrar mais informações sobre os cargos disponíveis?Todas as informações sobre as vagas, incluindo requisitos e responsabilidades, estão detalhadas na página do processo seletivo, disponível no nosso site www.tomeducacao.com.br.14. E se eu tiver mais dúvidas?Caso tenha outras perguntas, você pode entrar em contato com nossa equipe pelo e-mail pessoas.cultura@tomeducacao.com.br ou pelo telefone 41 9262-8806.",Tom Educação,banco de talentos,Paraná,presencial
"Professor de Curso Técnico em Administração | Londrina, Cambé e Ibiporã [Banco de Talentos 2025]","[Vaga para Banco de Talentos]🌟&nbsp;Seja parte de uma nova era na educação pública!&nbsp;🌟Na Tom Educação, acreditamos que a chave para transformar o futuro está em uma educação pública de qualidade.&nbsp;Nossa missão é desenvolver uma comunidade visceralmente comprometida para que todos os estudantes possam construir e alcançar seus sonhos.Como professor, você será parte essencial dessa missão, atuando diretamente com alunos do ensino básico para desenvolver habilidades de vida. Se você é apaixonado por ensinar e quer impactar vidas, essa vaga é para você!🚀&nbsp;Venha fazer parte do Tom Educação e ajude a transformar vidas e o futuro da educação pública!Responsabilidades e atribuiçõesPlanejar e ministrar aulas que motivem e engajem os alunos.Adaptar o conteúdo para atender às diferentes necessidades das turmas.Avaliar o desempenho dos alunos por meio de provas, trabalhos e atividades.Acompanhar o progresso individual dos estudantes.Criar um ambiente de aprendizagem seguro e estimulante.Promover o desenvolvimento do pensamento crítico.Colaborar com a equipe pedagógica e gestão escolar para garantir a qualidade do ensino.Requisitos e qualificaçõesGraduação em AdministraçãoConhecimento profundo do conteúdo a ser ministradoHabilidade para adaptar métodos de ensino a diferentes perfis de alunosCompromisso com o desenvolvimento educacional dos estudantesBoa comunicação e capacidade de trabalho em equipeDedicação ao ensino em ambientes da rede públicaAtenção: o Curso Técnico ofertado é integral. Dessa forma, serão priorizados professores dispostos a pegar uma alta quantidade de horas na escola, para que possam criar vínculos com os alunos, da forma como o Ensino Integral propõe. Para isso, o professor será selecionado para dar mais de uma disciplina.Informações adicionaisRemuneração + Benefícios (Flexível) - de acordo com a tabela de remuneração abaixo:A distribuição de horas-aula será feita de acordo com a Normativa Nº 12/2023, da SEED/PR.Regime de contratação: CLTPerguntas Frequentes do Processo Seletivo1. Quem pode se inscrever no processo seletivo?Qualquer pessoa que atenda aos requisitos mínimos descritos na página da vaga na Gupy pode se inscrever. Verifique a seção ""Requisitos"" da vaga para a qual você está aplicando para garantir a sua compatibilidade com a vaga.2. Como faço para me inscrever?As inscrições são realizadas online. Basta acessar https://tomeducacao.gupy.io/, preencher o formulário e enviar os documentos solicitados. Após a inscrição, você receberá um e-mail de confirmação.3. Quais documentos são necessários para a inscrição?Os documentos exigidos podem variar de acordo com o cargo, mas geralmente giram em torno do currículo atualizado. Caso você receba uma oferta de contratação, outros documentos serão solicitados.4. Há uma taxa de inscrição?Não, a inscrição no processo seletivo é totalmente gratuita.5. Qual é o prazo final para inscrição?As inscrições estão abertas até o dia 31/01/2025. Inscreva-se o quanto antes para garantir a sua participação.6. Como será o processo de seleção?O processo seletivo é composto por várias etapas, incluindo:Análise curricular;Prova Específica;Aula-Teste;Entrevistas com o time de Pessoas&amp;Cultura da Tom Educação e com colaboradores da escola em que você irá trabalhar7. Quando os resultados serão divulgados?Os resultados das diferentes etapas do processo seletivo serão enviados por e-mail. Acompanhe o calendário na página da Gupy para as datas.8. Posso corrigir ou atualizar minha inscrição após enviá-la?Sim, você pode atualizar seus dados antes do prazo final de inscrição, acessando sua conta no site e fazendo as alterações necessárias diretamente no site www.tomeducacao.gupy.io.&nbsp;9. Como posso acompanhar o status da minha inscrição?Você pode acompanhar o status de sua inscrição e do processo seletivo na área ""Minha Inscrição"" no nosso site www.tomeducacao.gupy.io, onde estarão as atualizações sobre cada etapa.10. O que devo fazer se não receber o e-mail de confirmação da inscrição?Verifique sua caixa de spam ou lixo eletrônico. Caso o e-mail não esteja lá, entre em contato com a equipe de suporte pelo e-mail pessoas.cultura@tomeducacao.com.br ou pelo telefone 41 9262-8806.11. Há vagas para pessoas com deficiência (PCD)?Sim, o processo seletivo conta com vagas destinadas a pessoas com deficiência (PCD).&nbsp;12. Qual é a duração do processo seletivo?O processo seletivo pode variar em duração, mas normalmente leva entre 20 a 60 dias, desde o início das inscrições até a divulgação do resultado final. Confira o andamento em seu e-mail ou no nosso site www.tomeducacao.com.br .13. Onde posso encontrar mais informações sobre os cargos disponíveis?Todas as informações sobre as vagas, incluindo requisitos e responsabilidades, estão detalhadas na página do processo seletivo, disponível no nosso site www.tomeducacao.com.br.14. E se eu tiver mais dúvidas?Caso tenha outras perguntas, você pode entrar em contato com nossa equipe pelo e-mail pessoas.cultura@tomeducacao.com.br ou pelo telefone 41 9262-8806.",Tom Educação,banco de talentos,Paraná,presencial
ADMINISTRADOR ,"Você quer fazer parte da equipe Qualidados?&nbsp;&nbsp;Estamos procurando por profissionais com conhecimento e experiência na área, com perfil proativo, organizado, comprometido, boa comunicação, que gosta de trabalhar em equipe e de desafios.&nbsp;﻿Vagas também para PCD conforme decreto: 5.296 de 02/12/2004.Responsabilidades e atribuiçõesAdministrador de empresas, Administrador de marketing, Administrador de orçamento, Administrador de patrimônio, Administrador de pequena e média empresa, Administrador de recursos humanos, Administrador de recursos tecnológicos, Administrador financeiro, Administrador hospitalar, Administrador público, Analista administrativo, Consultor administrativo, Consultor de organização.Planejam, organizam, controlam e assessoram as organizações nas áreas de Recursos Humanos, Patrimônio, Materiais, informações, Financeira, Tecnológica, Segurança do trabalho, Qualidade entre outras;Implementar programas e projetos;Elaborar planejamento organizacional;Promover estudos de racionalização e controlam o desempenho organizacional.Prestam consultoria administrativa a organizações e pessoas.Requisitos e qualificaçõesNível SuperiorPós especializada na área.Pacote Office avançado (Excel, Word, Power Point)Especialização será um diferencialInformações adicionaisBenefícios:Transporte;Alimentação;Seguro de Vida;Plano de Saúde;Plano OdontológicoTotalpass;Starbem;Avus;Empréstimo consignado.",Qualidados,banco de talentos,Bahia,presencial
ANALISTA DE ADMINISTRAÇÃO PESSOAL II - FOCO EM ADMISSÃO E FÉRIAS ,"Olá, somos a Cruzeiro do Sul Educacional! ⭐&nbsp;&nbsp;Nós acreditamos no poder de transformação de vidas pormeio da educação de qualidade e excelência!&nbsp;Aqui, nós buscamos conectardiferentes pessoas para que possam construir um mundo melhor a partir daeducação, com muito trabalho, respeito e dedicação, proporcionando a melhorexperiência e apoiando a jornada do conhecimento de mais de 390 milalunos.&nbsp;&nbsp;A Cruzeiro do Sul Educacional S/A é&nbsp;um dos maiores emais representativos grupos de educação do país, tendo instituições de ensinoacademicamente relevantes e marcas reconhecidas em suas respectivas regiões,das suas escolas de ensino básico às instituições de ensino superior.&nbsp;&nbsp;Docentes e colaboradores de diversas áreas trabalham emsintonia para garantir essa construção diária. E estamos sempre em busca de novaspessoas para colaborar com esse objetivo, sejam profissionais que procuram poruma primeira oportunidade no mercado de trabalho, até os mais experientes.&nbsp;Você se identifica e acredita nesse propósito e quertrabalhar em uma de nossas marcas?&nbsp;Venha fazer parte donosso time!&nbsp;Estamos de braços abertos pararecebê-lo(a).&nbsp;Para se candidatar a uma de nossas vagas, é importantemanter todos os seus dados atualizados e completos. Fique à vontade para secadastrar em todas as vagas disponíveis do seu interesse, apenas recomendamosque você finalize um processo antes de iniciar um novo.&nbsp;Responsabilidades e atribuiçõesMISSÃO DO CARGO: Executar, analisar e conferir as atividades de administração de pessoal com foco em processo admissional e férias, objetivando assegurar as informações dos colaboradores.&nbsp;PRINCIPAIS ATRIBUIÇÕES / RESPONSABILIDADES:&nbsp;Revisar a documentação necessária para a admissão, garantindo que esteja completa e em conformidade com os requisitos legais.Preparar e revisar contratos de trabalho e documentos relacionados à admissão.Realizar cadastro de novos colaboradores em sistema de Folha de Pagamento.Manter registros completos e precisos de todos os documentos relacionados à admissão e férias dos funcionários.Realizar cálculo de férias dos colaboradores.Garantir o cumprimento das políticas internas da empresa e da legislação trabalhista em todas as atividades relacionadas à admissão e férias.Fornecer suporte e orientação aos funcionários em relação a questões administrativas e regulamentares.Realizar o processo de solicitação e aprovação de férias dos funcionários, garantindo a cobertura adequada das atividades durante as ausências.Manter registros precisos e atualizados das férias de cada funcionário, assegurando o cumprimento das políticas de férias da empresa e da legislação trabalhista aplicável.Comunicar-se efetivamente com os funcionários e gestores para resolver conflitos de agenda e garantir um planejamento eficiente das férias.Requisitos e qualificaçõesEscolaridade:&nbsp;Superior em área Correlata Concluída. ﻿Informática:&nbsp;Pacote Office Completo&nbsp;&nbsp;&nbsp;&nbsp;Desejável manejo com sistema TOTVS.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Informações adicionaisBenefícios: Assistência Médica, Assistência Odontológica, Vale Transporte, Vale Refeição, Convênio Farmácia, Parceria com academias - TotalPass e Bolsas de Estudo.Horario de trabalho: Comercial",Universidade Cruzeiro do Sul,CLT,São Paulo,presencial
Analista de Planejamento Financeiro Sr. (Foco em Dados),"Quando você pensa em carreira, o que vem à sua mente? Propósito? Colaboração? Ser protagonista para fazer a diferença? No PagBank temos tudo isso e muito mais. 💛&nbsp;Estamos em busca de pessoas que vistam a camisa com orgulho. Gente com vontade de facilitar a vida financeira das pessoas e impulsionar negócios!&nbsp;Tá a fim de uma carreira que rende mais?&nbsp;Confira essa oportunidade e #VemProPags!Responsabilidades e atribuiçõesAtuar em projetos de budget, forecast e projeções financeiras, integrando análises de dados avançadas.Manipular e consolidar grandes bases de dados provenientes de diferentes sistemas.Utilizar SQL e bancos de dados para extração, tratamento e modelagem de informações financeiras.Desenvolver e manter dashboards e relatórios em Power BI, garantindo clareza e precisão.Apoiar o time de FP&amp;A na análise de P&amp;L, cash flow e KPIs.Automatizar processos e propor melhorias baseadas em data analytics.Atuar de forma consultiva junto às áreas de negócio, fornecendo insights estratégicos baseados em dados.Requisitos e qualificaçõesSuperior completo em Engenharia, Ciência de Dados, Economia, Administração ou áreas correlatas.Experiência sólida em análise de dados aplicada a finanças.Domínio de SQL e experiência em bancos de dados relacionais.Conhecimento em Excel avançado e manipulação de grandes volumes de informações.Experiência em Power BI (ou ferramentas similares de BI e Data Viz).Informações adicionaisPara se destacar nesta posição seria legal se você também tivesse:Experiência no setor financeiro, bancário, fintechs ou meios de pagamento.Conhecimentos em Python ou R para modelagem e automação de análises.Experiência em projetos de data pipeline e integração de dados.",PagBank,banco de talentos,São Paulo,híbrido
Analista de Laboratório ,"Você tem paixão pelas pessoas e gosta de cuidar de gente?&nbsp;Na Dasa, além de uma empresa reconhecida em gestão em cuidados, contamos com mais de 59 marcas entre medicina diagnóstica e hospitais, distribuídas em mais de 900 unidades no Brasil. Cuidamos e acolhemos mais de 20 milhões de pessoas por ano, acolhemos a vida, a saúde e as relações, de forma integral e apaixonada.Saúde é uma área complexa. No time assistencial, você encontra um ambiente ágil com pessoas que cuidam, acolhem e transformam o jeito de fazer saúde.Seja você a pessoa que transforma o futuro da saúde, #VemSerDasa. 🚀💙&nbsp;#VemPraDasa #DasaLovers #VemSerDasa&nbsp;📌 Importante: não efetuamos cobranças de taxas em nossos processos seletivos&nbsp;Responsabilidades e atribuições🔎 Sobre a posição:Responsável por realizar a análise de inconsistências em todas as metodologias utilizadas na rotina diagnóstica do setor, além de exercitar, durante o período de treinamento, a interpretação de resultados e resolução de problemas;Processamento e resolução de problemas provenientes aos setores técnicos operacionais de acordo com o setor técnico;Pós analítica - Análise de consistência, liberação de resultados, retificação, recoleta e outras funções associadas (quando aplicável ao setor).Requisitos e qualificaçõesSe você acredita no cuidado que acolhe e quer transformar a saúde no mundo, em nossa área assistenciais você encontra um lugar de cuidado e acolhimento.🎯 Para transformar a saúde é preciso:Formação: Ensino Superior Completo em Farmácia Bioquímica, Biologia ou Biomedicina;Registro profissional ativo;Desejável: Experiência na área;Conhecimento do pacote Office.Informações adicionaisÉ cuidando da nossa gente que vamos ser a saúde que as pessoas desejam e que o mundo precisa, confira os nossos benefícios:Cuidados com a alimentação: Vale Refeição/Vale Alimentação ou Refeitório no local de trabalho (de acordo com a localidade);Cuidados com a saúde: Plano de Saúde e Seguro de Vida;Cuidados com o seu desenvolvimento: Universidade Dasa, Ciclo de Desenvolvimento e Carreira, Academias de Tecnologia/PMAX e Programa Crescer dentro da Dasa;Outros: Vale Transporte e Bonificação por desempenho (PPR).💰 Só a Dasa tem – Programa&nbsp;de Saúde&nbsp;, pautado em 5 pilares:&nbsp;Espiritual: yoga, meditação e mindfulness;Físico: Totalpass, clínica de atenção primária, descontos em exames e vacinas;Intelectual: Universidade Dasa;Relacional: Clube de vantagens UAU e benefícios SESC;Emocional: Telepsicologia.*Os benefícios podem sofrer alteração de acordo com a região da vaga e da marca.📌 Importante: Você está se candidatando para o nosso banco de talentos para vagas em todo o Brasil, nas localidades em que a Dasa possui operações (regiões Nordeste, Centro Oeste, Sudeste e Sul do Brasil), portanto, ressaltamos que assim que surgir uma vaga que melhor se adeque ao seu perfil, entraremos em contato com você. Enquanto isso, mantenha as suas informações atualizadas e cumpra todas as etapas de testes online, assim, podemos conhecer mais sobre você.",Dasa,banco de talentos,Espírito Santo,presencial
Analista de Planejamento Comercial Sr.,"Quando você pensa em carreira, o que vem à sua mente? Propósito? Colaboração? Ser protagonista para fazer a diferença? No PagBank temos tudo isso e muito mais. 💛&nbsp;Estamos em busca de pessoas que vistam a camisa com orgulho. Gente com vontade de facilitar a vida financeira das pessoas e impulsionar negócios!&nbsp;Tá a fim de uma carreira que rende mais?&nbsp;Confira essa oportunidade e #VemProPags!Responsabilidades e atribuiçõesSer responsável pelo desenho das metas para a área Comercial.Planejar, gerenciar e executar projetos estratégicos para o time Comercial.Auxiliar no controle e reporte para a área Comercial.Executar análises diversas da área Comercial de performance e de topo.Desenvolver relatórios gerenciais de acompanhamento.Buscar oportunidades escaláveis de otimização com novas estratégias e processos com os times comerciais e de suporte.Propor melhoria nos processos existentes com intuito de minimizar os impactos na área Comercial.Acompanhar, gerenciar e reportar resultados de campanhas do time Comercial.Apoiar os demais analistas do time.Requisitos e qualificaçõesSuperior em Marketing, Administração, Economia, Engenharia, Estatística ou áreas correlatas.Experiência em análise de dados em SQL.Experiência desenvolvimento de Dashboard em PowerBi.Experiência com análises em Excel.Informações adicionaisPara se destacar nesta posição seria legal se você também tivesse:Experiência desenvolvimento de Dashboard em PowerBi.Experiência na área comercial.",PagBank,banco de talentos,São Paulo,híbrido
Analista de Planejamento Comercial Jr.,"Quando você pensa em carreira, o que vem à sua mente? Propósito? Colaboração? Ser protagonista para fazer a diferença? No PagBank temos tudo isso e muito mais. 💛&nbsp;Estamos em busca de pessoas que vistam a camisa com orgulho. Gente com vontade de facilitar a vida financeira das pessoas e impulsionar negócios!&nbsp;Tá a fim de uma carreira que rende mais?&nbsp;Confira essa oportunidade e #VemProPags!Responsabilidades e atribuiçõesAnalisar possíveis problemas e propor melhoria.&nbsp;Desenvolver novos processos com intuito de reduzir tempo de execução.Analisar o processo de gerenciamentos de clientes.Realizar marcações e migrações de clientes gerenciados.Atualizar relatórios de acompanhamentos dos gerenciamentos de clientes.&nbsp;Desenvolver matérias para reciclagem da comercial junto ao time de treinamento.Requisitos e qualificaçõesSuperior em Marketing, Administração, Economia, Engenharia, Estatística ou áreas correlatas.Experiência com elaboração de apresentação em PowerPoint.Experiência com Excel intermediário a avançado (tabela dinâmica, fórmulas e gráficos).Experiência com Word e PowerPoint básico a avançado (Documentação e Apresentações).Informações adicionaisPara se destacar nesta posição seria legal se você também tivesse:Experiência em análise de dados no Excel.Experiência na área comercial.",PagBank,banco de talentos,São Paulo,híbrido
Analista de Inteligência Comercial II | São Bernardo do Campo |SP,"Atuação com processos e monitoramento do comportamento de mercado para a companhia na trilha de atuação visando transformar dados em informações para embasamento nas tomadas de decisões e ações táticas de vendas.&nbsp;Responsabilidades e atribuiçõesCriar relatórios, painéis e dashboard com indicadores e métricas de vendas, apoiando com visão analítica e entendendo como os ambientes internos e externos afetam a performance do time de vendas;Apoiar na construção de estudos estratégicos através de fontes externas, transformando informações em apresentações com insights e ações para a força de vendas e recomendar ações para a liderança e unidades de negócio;Criar e acompanhar planos de ação identificando oportunidades alinhadas aos processos conforme a diretriz estratégica e garantir que o modelo seja padronizado em toda a companhia e verticais de negócios, bem como implementar processos novos necessários e garantir melhoria contínua;Apoiar na projeção de cenários através da avaliação da correlação entre as variáveis macroeconômicas, específicas de demanda do mercado e internas dos produtos;&nbsp;Requisitos e qualificaçõesSuperior em Estatística, Administração de Empresas, Engenharia ou EconomiaDesejável – Inteligência de Mercado, Inteligência Comercial, Planejamento estratégico e FinançasAnálises com tabelas de fato e dimensão;Modelos e análises de dados;Informações adicionaisBenefícios e parcerias:&nbsp;PLRVale Refeição e/ou Vale AlimentaçãoCartão flexívelVale TransporteEmpréstimo consignado (após 6 meses de empresa)Seguro de VidaRede social corporativa (parceria com diversos estabelecimentos com descontos e benefícios exclusivos)Programa de treinamento e capacitação (Universidade Tecnogera)Estacionamento (por ordem de chegada)Café da manhãDay off no aniversário&nbsp;&nbsp;Programas de saúde e bem estar:&nbsp;Plano de saúdePlano odontológicoSaúde emocional: sessões de psicoterapia 100% custeadas pela empresa&nbsp;GympassGinástica laboral",Tecnogera Geradores,CLT,São Paulo,presencial
